,type,id,attributes.accession,attributes.analysis-status,attributes.experiment-type,attributes.analysis-summary,attributes.pipeline-version,attributes.is-private,attributes.complete-time,attributes.instrument-platform,attributes.instrument-model,relationships.sample.data.id,relationships.sample.data.type,relationships.run.data.id,relationships.run.data.type,relationships.study.data.id,relationships.study.data.type
47,analysis-jobs,MGYA00565131,MGYA00565131,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '128581'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '128010'}, {'key': 'Nucleotide sequences after length filtering', 'value': '128010'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '128010'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:55:14,ILLUMINA,Illumina MiSeq,ERS1014332,samples,ERR1189760,runs,MGYS00001499,studies
48,analysis-jobs,MGYA00565132,MGYA00565132,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '64305'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '64000'}, {'key': 'Nucleotide sequences after length filtering', 'value': '64000'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '64000'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:55:40,ILLUMINA,Illumina MiSeq,ERS1014298,samples,ERR1189726,runs,MGYS00001499,studies
49,analysis-jobs,MGYA00565133,MGYA00565133,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '32'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '31'}, {'key': 'Nucleotide sequences after length filtering', 'value': '31'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '31'}, {'key': 'Predicted SSU sequences', 'value': '1'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:56:26,ILLUMINA,Illumina MiSeq,ERS1014264,samples,ERR1189692,runs,MGYS00001499,studies
50,analysis-jobs,MGYA00565134,MGYA00565134,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '80730'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '80004'}, {'key': 'Nucleotide sequences after length filtering', 'value': '80004'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '80004'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:56:50,ILLUMINA,Illumina MiSeq,ERS1014262,samples,ERR1189690,runs,MGYS00001499,studies
51,analysis-jobs,MGYA00565135,MGYA00565135,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '15'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '1'}, {'key': 'Nucleotide sequences after length filtering', 'value': '1'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '1'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:57:12,ILLUMINA,Illumina MiSeq,ERS1015549,samples,ERR1190118,runs,MGYS00001499,studies
52,analysis-jobs,MGYA00565136,MGYA00565136,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '135150'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '134414'}, {'key': 'Nucleotide sequences after length filtering', 'value': '134414'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '134414'}, {'key': 'Predicted SSU sequences', 'value': '64'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:57:58,ILLUMINA,Illumina MiSeq,ERS1014343,samples,ERR1189771,runs,MGYS00001499,studies
53,analysis-jobs,MGYA00565137,MGYA00565137,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '118685'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '118096'}, {'key': 'Nucleotide sequences after length filtering', 'value': '118096'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '118096'}, {'key': 'Predicted SSU sequences', 'value': '153'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:58:26,ILLUMINA,Illumina MiSeq,ERS1014329,samples,ERR1189757,runs,MGYS00001499,studies
54,analysis-jobs,MGYA00565138,MGYA00565138,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '123877'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '123154'}, {'key': 'Nucleotide sequences after length filtering', 'value': '123154'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '123154'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:58:52,ILLUMINA,Illumina MiSeq,ERS1014307,samples,ERR1189735,runs,MGYS00001499,studies
55,analysis-jobs,MGYA00565139,MGYA00565139,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '105969'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '105496'}, {'key': 'Nucleotide sequences after length filtering', 'value': '105496'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '105496'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:59:17,ILLUMINA,Illumina MiSeq,ERS1014277,samples,ERR1189705,runs,MGYS00001499,studies
56,analysis-jobs,MGYA00565140,MGYA00565140,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '12'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '12'}, {'key': 'Nucleotide sequences after length filtering', 'value': '12'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '12'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T14:59:48,ILLUMINA,Illumina MiSeq,ERS1014305,samples,ERR1189733,runs,MGYS00001499,studies
57,analysis-jobs,MGYA00565141,MGYA00565141,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '104250'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '103721'}, {'key': 'Nucleotide sequences after length filtering', 'value': '103721'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '103721'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:00:36,ILLUMINA,Illumina MiSeq,ERS1014316,samples,ERR1189744,runs,MGYS00001499,studies
58,analysis-jobs,MGYA00565142,MGYA00565142,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '86'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '86'}, {'key': 'Nucleotide sequences after length filtering', 'value': '86'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '86'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:01:02,ILLUMINA,Illumina MiSeq,ERS1015542,samples,ERR1190111,runs,MGYS00001499,studies
59,analysis-jobs,MGYA00565143,MGYA00565143,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '268'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '265'}, {'key': 'Nucleotide sequences after length filtering', 'value': '265'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '265'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:01:24,ILLUMINA,Illumina MiSeq,ERS1015540,samples,ERR1190109,runs,MGYS00001499,studies
60,analysis-jobs,MGYA00565144,MGYA00565144,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '249'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '249'}, {'key': 'Nucleotide sequences after length filtering', 'value': '249'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '249'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:01:50,ILLUMINA,Illumina MiSeq,ERS1015534,samples,ERR1190103,runs,MGYS00001499,studies
61,analysis-jobs,MGYA00565145,MGYA00565145,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '112029'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '111500'}, {'key': 'Nucleotide sequences after length filtering', 'value': '111500'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '111500'}, {'key': 'Predicted SSU sequences', 'value': '1'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:02:34,ILLUMINA,Illumina MiSeq,ERS1014349,samples,ERR1189777,runs,MGYS00001499,studies
62,analysis-jobs,MGYA00565146,MGYA00565146,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '141597'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '140774'}, {'key': 'Nucleotide sequences after length filtering', 'value': '140774'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '140774'}, {'key': 'Predicted SSU sequences', 'value': '98'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:03:01,ILLUMINA,Illumina MiSeq,ERS1014346,samples,ERR1189774,runs,MGYS00001499,studies
63,analysis-jobs,MGYA00565147,MGYA00565147,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '150782'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '150028'}, {'key': 'Nucleotide sequences after length filtering', 'value': '150028'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '150028'}, {'key': 'Predicted SSU sequences', 'value': '1'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:03:31,ILLUMINA,Illumina MiSeq,ERS1014341,samples,ERR1189769,runs,MGYS00001499,studies
64,analysis-jobs,MGYA00565148,MGYA00565148,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '12260'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '12186'}, {'key': 'Nucleotide sequences after length filtering', 'value': '12186'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '12186'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:03:59,ILLUMINA,Illumina MiSeq,ERS1014334,samples,ERR1189762,runs,MGYS00001499,studies
65,analysis-jobs,MGYA00565149,MGYA00565149,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '120849'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '120243'}, {'key': 'Nucleotide sequences after length filtering', 'value': '120243'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '120243'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:04:26,ILLUMINA,Illumina MiSeq,ERS1014330,samples,ERR1189758,runs,MGYS00001499,studies
66,analysis-jobs,MGYA00565150,MGYA00565150,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '159878'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '159036'}, {'key': 'Nucleotide sequences after length filtering', 'value': '159036'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '159036'}, {'key': 'Predicted SSU sequences', 'value': '131'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:04:49,ILLUMINA,Illumina MiSeq,ERS1014328,samples,ERR1189756,runs,MGYS00001499,studies
67,analysis-jobs,MGYA00565151,MGYA00565151,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '143623'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '142853'}, {'key': 'Nucleotide sequences after length filtering', 'value': '142853'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '142853'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:05:16,ILLUMINA,Illumina MiSeq,ERS1014325,samples,ERR1189753,runs,MGYS00001499,studies
68,analysis-jobs,MGYA00565152,MGYA00565152,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '210926'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '209854'}, {'key': 'Nucleotide sequences after length filtering', 'value': '209854'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '209854'}, {'key': 'Predicted SSU sequences', 'value': '3'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:05:45,ILLUMINA,Illumina MiSeq,ERS1014323,samples,ERR1189751,runs,MGYS00001499,studies
69,analysis-jobs,MGYA00565153,MGYA00565153,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '202216'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '201100'}, {'key': 'Nucleotide sequences after length filtering', 'value': '201100'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '201100'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:06:12,ILLUMINA,Illumina MiSeq,ERS1014319,samples,ERR1189747,runs,MGYS00001499,studies
70,analysis-jobs,MGYA00565154,MGYA00565154,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '236'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '232'}, {'key': 'Nucleotide sequences after length filtering', 'value': '232'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '232'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:06:38,ILLUMINA,Illumina MiSeq,ERS1014318,samples,ERR1189746,runs,MGYS00001499,studies
71,analysis-jobs,MGYA00565155,MGYA00565155,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '191167'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '190214'}, {'key': 'Nucleotide sequences after length filtering', 'value': '190214'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '190214'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:07:10,ILLUMINA,Illumina MiSeq,ERS1014315,samples,ERR1189743,runs,MGYS00001499,studies
72,analysis-jobs,MGYA00565156,MGYA00565156,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '90708'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '90288'}, {'key': 'Nucleotide sequences after length filtering', 'value': '90288'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '90288'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:07:33,ILLUMINA,Illumina MiSeq,ERS1014306,samples,ERR1189734,runs,MGYS00001499,studies
73,analysis-jobs,MGYA00565157,MGYA00565157,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '81411'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '80964'}, {'key': 'Nucleotide sequences after length filtering', 'value': '80964'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '80964'}, {'key': 'Predicted SSU sequences', 'value': '1'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:08:24,ILLUMINA,Illumina MiSeq,ERS1014296,samples,ERR1189724,runs,MGYS00001499,studies
74,analysis-jobs,MGYA00565158,MGYA00565158,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '108465'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '107970'}, {'key': 'Nucleotide sequences after length filtering', 'value': '107970'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '107970'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:08:52,ILLUMINA,Illumina MiSeq,ERS1014295,samples,ERR1189723,runs,MGYS00001499,studies
75,analysis-jobs,MGYA00565159,MGYA00565159,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '37'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '37'}, {'key': 'Nucleotide sequences after length filtering', 'value': '37'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '37'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:10:39,ILLUMINA,Illumina MiSeq,ERS1014267,samples,ERR1189695,runs,MGYS00001499,studies
76,analysis-jobs,MGYA00565160,MGYA00565160,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '2'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '2'}, {'key': 'Nucleotide sequences after length filtering', 'value': '2'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '2'}, {'key': 'Predicted SSU sequences', 'value': '1'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:11:04,ILLUMINA,Illumina MiSeq,ERS1014265,samples,ERR1189693,runs,MGYS00001499,studies
77,analysis-jobs,MGYA00565161,MGYA00565161,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '20'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '17'}, {'key': 'Nucleotide sequences after length filtering', 'value': '17'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '17'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:13:13,ILLUMINA,Illumina MiSeq,ERS1014281,samples,ERR1189709,runs,MGYS00001499,studies
78,analysis-jobs,MGYA00565162,MGYA00565162,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '104562'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '104018'}, {'key': 'Nucleotide sequences after length filtering', 'value': '104018'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '104018'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:14:30,ILLUMINA,Illumina MiSeq,ERS1014352,samples,ERR1189780,runs,MGYS00001499,studies
79,analysis-jobs,MGYA00565163,MGYA00565163,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '133069'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '132327'}, {'key': 'Nucleotide sequences after length filtering', 'value': '132327'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '132327'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:14:58,ILLUMINA,Illumina MiSeq,ERS1014340,samples,ERR1189768,runs,MGYS00001499,studies
80,analysis-jobs,MGYA00565164,MGYA00565164,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '112817'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '112114'}, {'key': 'Nucleotide sequences after length filtering', 'value': '112114'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '112114'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:15:25,ILLUMINA,Illumina MiSeq,ERS1014324,samples,ERR1189752,runs,MGYS00001499,studies
81,analysis-jobs,MGYA00565165,MGYA00565165,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '65'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '63'}, {'key': 'Nucleotide sequences after length filtering', 'value': '63'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '63'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:15:51,ILLUMINA,Illumina MiSeq,ERS1015545,samples,ERR1190114,runs,MGYS00001499,studies
82,analysis-jobs,MGYA00565166,MGYA00565166,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '54'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '5'}, {'key': 'Nucleotide sequences after length filtering', 'value': '5'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '5'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:16:19,ILLUMINA,Illumina MiSeq,ERS1015528,samples,ERR1190097,runs,MGYS00001499,studies
83,analysis-jobs,MGYA00565167,MGYA00565167,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '148529'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '147734'}, {'key': 'Nucleotide sequences after length filtering', 'value': '147734'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '147734'}, {'key': 'Predicted SSU sequences', 'value': '1'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:16:40,ILLUMINA,Illumina MiSeq,ERS1014354,samples,ERR1189782,runs,MGYS00001499,studies
84,analysis-jobs,MGYA00565168,MGYA00565168,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '119686'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '119155'}, {'key': 'Nucleotide sequences after length filtering', 'value': '119155'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '119155'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:17:06,ILLUMINA,Illumina MiSeq,ERS1014320,samples,ERR1189748,runs,MGYS00001499,studies
85,analysis-jobs,MGYA00565169,MGYA00565169,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '1561'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '1556'}, {'key': 'Nucleotide sequences after length filtering', 'value': '1556'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '1556'}, {'key': 'Predicted SSU sequences', 'value': '78'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:18:21,ILLUMINA,Illumina MiSeq,ERS1014294,samples,ERR1189722,runs,MGYS00001499,studies
86,analysis-jobs,MGYA00565170,MGYA00565170,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '48'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '48'}, {'key': 'Nucleotide sequences after length filtering', 'value': '48'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '48'}, {'key': 'Predicted SSU sequences', 'value': '13'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:18:48,ILLUMINA,Illumina MiSeq,ERS1014278,samples,ERR1189706,runs,MGYS00001499,studies
87,analysis-jobs,MGYA00565171,MGYA00565171,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '71907'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '71564'}, {'key': 'Nucleotide sequences after length filtering', 'value': '71564'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '71564'}, {'key': 'Predicted SSU sequences', 'value': '1'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:19:34,ILLUMINA,Illumina MiSeq,ERS1014269,samples,ERR1189697,runs,MGYS00001499,studies
88,analysis-jobs,MGYA00565172,MGYA00565172,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '160'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '153'}, {'key': 'Nucleotide sequences after length filtering', 'value': '153'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '153'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:19:59,ILLUMINA,Illumina MiSeq,ERS1015544,samples,ERR1190113,runs,MGYS00001499,studies
89,analysis-jobs,MGYA00565173,MGYA00565173,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '257'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '255'}, {'key': 'Nucleotide sequences after length filtering', 'value': '255'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '255'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:20:19,ILLUMINA,Illumina MiSeq,ERS1015533,samples,ERR1190102,runs,MGYS00001499,studies
90,analysis-jobs,MGYA00565174,MGYA00565174,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '45877'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '45617'}, {'key': 'Nucleotide sequences after length filtering', 'value': '45617'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '45617'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:20:43,ILLUMINA,Illumina MiSeq,ERS1014326,samples,ERR1189754,runs,MGYS00001499,studies
91,analysis-jobs,MGYA00565175,MGYA00565175,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '148262'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '147548'}, {'key': 'Nucleotide sequences after length filtering', 'value': '147548'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '147548'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:21:09,ILLUMINA,Illumina MiSeq,ERS1014284,samples,ERR1189712,runs,MGYS00001499,studies
92,analysis-jobs,MGYA00565176,MGYA00565176,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '40'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '40'}, {'key': 'Nucleotide sequences after length filtering', 'value': '40'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '40'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:21:32,ILLUMINA,Illumina MiSeq,ERS1015543,samples,ERR1190112,runs,MGYS00001499,studies
93,analysis-jobs,MGYA00565177,MGYA00565177,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '87055'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '86603'}, {'key': 'Nucleotide sequences after length filtering', 'value': '86603'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '86603'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:22:19,ILLUMINA,Illumina MiSeq,ERS1014279,samples,ERR1189707,runs,MGYS00001499,studies
94,analysis-jobs,MGYA00565178,MGYA00565178,completed,amplicon,"[{'key': 'Submitted nucleotide sequences', 'value': '131858'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '131276'}, {'key': 'Nucleotide sequences after length filtering', 'value': '131276'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '131276'}, {'key': 'Predicted SSU sequences', 'value': '0'}, {'key': 'Predicted LSU sequences', 'value': '0'}]",5.0,False,2020-08-22T15:23:27,ILLUMINA,Illumina MiSeq,ERS1014266,samples,ERR1189694,runs,MGYS00001499,studies
